Código Tarifa;Código Propio;Descripción;Valor
040705;040705;NEURECTOMIA DE NERVIO PERIFERICO EN CABEZA O CUELLO;660700
040715;040715;RESECCION DE TUMOR BENIGNO DE NERVIO EN BRAZO VIA ABIERTA;1477000
040717;040717;RESECCION DE TUMOR BENIGNO DE NERVIO EN ANTEBRAZO VIA ABIERTA;1477000
040719;040719;RESECCION DE TUMOR BENIGNO DE NERVIO EN MANO O DEDOS VIA ABIERTA;1970700
040721;040721;RESECCION DE TUMOR BENIGNO DE NERVIO EN MUSLO VIA ABIERTA;1970700
040725;040725;RESECCION DE TUMOR BENIGNO DE NERVIO EN PIERNA VIA ABIERTA;1970700
040727;040727;RESECCION DE TUMOR BENIGNO DE NERVIO EN TOBILLO VIA ABIERTA;910800
040729;040729;RESECCION DE TUMOR BENIGNO DE NERVIO EN PIE VIA ABIERTA;910800
042202;042202;NEUROLISIS DE NERVIO VIDIANO POR ELECTROCOAGULACION O ESCISION;2263300
042310;042310;NEUROLISIS DE NERVIO EN BRAZO VIA ABIERTA;1293200
042312;042312;NEUROLISIS DE NERVIO EN ANTEBRAZO VIA ABIERTA;1293200
042314;042314;NEUROLISIS EN NERVIO DE MANO VIA ABIERTA;1293200
042315;042315;NEUROLISIS DE NERVIOS EN DEDOS DE MANO VIA ABIERTA;1176600
042316;042316;NEUROLISIS DE NERVIO EN MUSLO VIA ABIERTA;522100
042319;042319;NEUROLISIS DE NERVIO EN PIERNA VIA ABIERTA;522100
042321;042321;NEUROLISIS DE NERVIO EN TOBILLO VIA ABIERTA;522100
042323;042323;NEUROLISIS DE NERVIO EN PIE EXCEPTO DEDO DE PIE VIA ABIERTA;522100
042324;042324;NEUROLISIS DE NERVIO EN DEDO DE PIE VIA ABIERTA;1477000
043101;043101;NEURORRAFIA DE NERVIO PERIFERICO;910739
043103;043103;NEURORRAFIA DE NERVIO EN BRAZO;1970700
043104;043104;NEURORRAFIA DE NERVIO EN ANTEBRAZO;1970700
043105;043105;NEURORRAFIA DE NERVIO EN MANO;1477000
043106;043106;NEURORRAFIA DE NERVIO COLATERAL EN DEDO DE MANO;910800
043107;043107;NEURORRAFIA DE NERVIO EN MUSLO;1970700
043108;043108;NEURORRAFIA DE NERVIO EN PIERNA;2263300
043109;043109;NEURORRAFIA DE NERVIO EN PIE;1176600
044207;044207;DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSLABERINTICA;4417800
044208;044208;DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSMASTOIDEA;4417800
044301;044301;DESCOMPRESION DE NERVIO EN TUNEL DEL CARPO VIA ENDOSCOPICA;1176600
044303;044303;DESCOMPRESION DE NERVIO EN TUNEL DEL CARPO VIA ABIERTA;1176600
044304;044304;DESCOMPRESION DE NERVIO EN TUNEL DEL CARPO CON NEUROLISIS VIA ABIERTA;1176600
044510;044510;DESCOMPRESION DE NERVIO EN HOMBRO VIA ABIERTA;1176600
